ID;Tipo de usuario;Navegador;Idioma;Método de pago;Tipo de envío
1;Invitado;Chrome;Español;Tarjeta de crédito;Estándar
2;Registrado;Firefox;Inglés;Tarjeta de débito;Estándar
3;Administrador;Edge;Francés;PayPal;Estándar
4;Administrador;Safari;Portugués;Transferencia bancaria;Express
5;Registrado;Opera;Alemán;Pago contra entrega;Express
6;Invitado;Opera;Portugués;PayPal;Internacional
7;Invitado;Safari;Francés;Tarjeta de débito;Recolección en tienda
8;Registrado;Edge;Español;Transferencia bancaria;Recolección en tienda
9;Administrador;Chrome;Inglés;Pago contra entrega;Recolección en tienda
10;Administrador;Firefox;Alemán;Tarjeta de crédito;Internacional
11;Registrado;Chrome;Portugués;Tarjeta de crédito;Recolección en tienda
12;Invitado;Firefox;Francés;Transferencia bancaria;Express
13;Invitado;Edge;Alemán;Pago contra entrega;Estándar
14;Registrado;Safari;Inglés;PayPal;Internacional
15;Administrador;Opera;Español;Tarjeta de débito;Internacional
16;Registrado;Chrome;Francés;PayPal;Internacional
17;Invitado;Opera;Inglés;Transferencia bancaria;Estándar
18;Invitado;Edge;Portugués;Tarjeta de débito;Express
19;Invitado;Safari;Alemán;PayPal;Recolección en tienda
20;Invitado;Firefox;Español;PayPal;Express
21;Invitado;Safari;Español;Pago contra entrega;Estándar
22;Invitado;Chrome;Alemán;Transferencia bancaria;Internacional
23;Invitado;Firefox;Portugués;Pago contra entrega;Estándar
24;Invitado;Edge;Inglés;Tarjeta de crédito;Express
25;Invitado;Opera;Francés;Tarjeta de crédito;Recolección en tienda
26;Invitado;Chrome;Francés;Pago contra entrega;Express
27;Invitado;Chrome;Alemán;Tarjeta de débito;Express
28;Invitado;Edge;Alemán;Pago contra entrega;Internacional
29;Invitado;Firefox;Alemán;Pago contra entrega;Recolección en tienda
30;Invitado;Safari;Alemán;Tarjeta de crédito;Express
